ANO,NÚMERO DA REGIONAL,REGIONAL,CÓDIGO INEP,ESCOLA,QUANTIDADE DE ESTUDANTES,LOGRADOURO,NÚMERO,BAIRRO,MUNICÍPIO,ESTADO,ENDEREÇO,LATITUDE,LONGITUDE,CIÊNCIAS HUMANAS,LINGUAGENS E CÓDIGOS,CIÊNCIAS DA NATUREZA,MATEMÁTICA,REDAÇÃO,MÉDIA GERAL,COMPETÊNCIA 1,COMPETÊNCIA 2,COMPETÊNCIA 3,COMPETÊNCIA 4,COMPETÊNCIA 5
2024,2,SRE METROPOLITANA A,31000370,EE HENRIQUE DINIZ,53,RUA TENENTE ANASTACIO DE MOURA,280,SANTA EFIGENIA,BELO HORIZONTE,MG,"RUA TENENTE ANASTACIO DE MOURA, 280, SANTA EFIGENIA, BELO HORIZONTE, MG","-19,9220061","-43,9160605","508,25","518,84","474,94","485,78","615,12","520,59","121,46","145,37","111,71","124,88","111,71"
2024,41,SRE METROPOLITANA C,31000418,EE PRESIDENTE TANCREDO NEVES,131,RUA FURQUIM WERNECK,313,TUPI,BELO HORIZONTE,MG,"RUA FURQUIM WERNECK, 313, TUPI, BELO HORIZONTE, MG","-19,8428924","-43,9206013","484,38","507,83","462,9","471,14","578,62","500,97","117,24","136,09","109,2","119,77","96,32"
2024,1,SRE METROPOLITANA B,31000426,EE ALBERTO DELPINO,79,RUA  FRANCISCO DUARTE MENDONCA,2282,BARREIRO DE BAIXO,BELO HORIZONTE,MG,"RUA  FRANCISCO DUARTE MENDONCA, 2282, BARREIRO DE BAIXO, BELO HORIZONTE, MG","-19,991884","-44,013197","521,49","530,66","491,16","498,44","665,22","541,39","128,7","154,78","120,87","133,04","127,83"
2024,1,SRE METROPOLITANA B,31000434,EE CANDIDA CABRAL,18,RUA FREI LUIZ DE SOUZA,481,JOAO PINHEIROS,BELO HORIZONTE,MG,"RUA FREI LUIZ DE SOUZA, 481, JOAO PINHEIROS, BELO HORIZONTE, MG","-19,9284942","-44,0021697","485,46","500,87","444,51","445,22","605,45","496,3","121,82","143,64","114,55","127,27","98,18"
2024,1,SRE METROPOLITANA B,31000442,EE DOM CABRAL,72,RUA SAO FELICISSIMO,153,BETANIA,BELO HORIZONTE,MG,"RUA SAO FELICISSIMO, 153, BETANIA, BELO HORIZONTE, MG","-19,9623966","-43,988523","513,15","522,34","488,04","503,13","649,23","535,18","119,69","152,31","117,23","129,85","130,15"
2024,1,SRE METROPOLITANA B,31000469,EE PRINCESA ISABEL,43,RUA SANTA JUDITH,565,APARECIDA,BELO HORIZONTE,MG,"RUA SANTA JUDITH, 565, APARECIDA, BELO HORIZONTE, MG","-19,8898781","-43,9605599","518,64","520,6","485,77","515,75",625,"533,15",125,145,"118,5",131,"105,5"
2024,2,SRE METROPOLITANA A,31000493,EE DEPUTADO ILACIR PEREIRA LIMA,113,RUA CONDE SANTA MARINHA,707,CACHOEIRINHA,BELO HORIZONTE,MG,"RUA CONDE SANTA MARINHA, 707, CACHOEIRINHA, BELO HORIZONTE, MG","-19,8897951","-43,9461449","510,94","529,49","476,54","512,52","612,21","528,34","119,58","145,26","114,95","126,11","106,32"
2024,1,SRE METROPOLITANA B,31000515,EE CANDIDO PORTINARI,17,RUA CAMPINA VERDE,0,SALGADO FILHO,BELO HORIZONTE,MG,"RUA CAMPINA VERDE, 0, SALGADO FILHO, BELO HORIZONTE, MG",#REF!,#REF!,"522,55","527,43","480,64","512,8","628,57","534,4","114,29","142,86","121,43","131,43","118,57"
2024,41,SRE METROPOLITANA C,31000540,EE PROFESSOR AFFONSO NEVES,20,RUA GUIMARAES,900,SAO FRANCISCO,BELO HORIZONTE,MG,"RUA GUIMARAES, 900, SAO FRANCISCO, BELO HORIZONTE, MG","-19,8803941","-43,9607521","505,98","531,66","493,63","504,89","635,56","534,34","121,11","147,78","123,33","128,89","114,44"
2024,1,SRE METROPOLITANA B,31000582,EE PROFESSOR ALISSON PEREIRA GUIMARAES,156,RUA DOS ECONOMISTAS,612,ALIPIO DE MELO,BELO HORIZONTE,MG,"RUA DOS ECONOMISTAS, 612, ALIPIO DE MELO, BELO HORIZONTE, MG","-19,8888481","-44,0052659","518,98","532,46","487,32","500,7","598,24","527,54","116,64",140,"113,12","119,84","108,64"
2024,1,SRE METROPOLITANA B,31000591,EE ALVARO LAUREANO PIMENTEL,35,RUA JOSE OVIDIO GUERRA,445,CARDOSO,BELO HORIZONTE,MG,"RUA JOSE OVIDIO GUERRA, 445, CARDOSO, BELO HORIZONTE, MG","-20,0033727","-44,0080477","504,5","523,15","475,54","480,98","648,18","526,47","121,82","151,82","118,18","137,27","119,09"
2024,1,SRE METROPOLITANA B,31000604,EE DOMINGAS MARIA DE ALMEIDA,75,RUA JOANICO CIRILO DE ABREU,285,INDEPENDENCIA,BELO HORIZONTE,MG,"RUA JOANICO CIRILO DE ABREU, 285, INDEPENDENCIA, BELO HORIZONTE, MG","-20,019486","-44,034142","488,38","519,99","468,43","472,92","562,31","502,41","111,92","136,15","108,46","114,23","91,54"
2024,1,SRE METROPOLITANA B,31000639,EE MAURICIO MURGEL,274,AVENIDA AMAZONAS,5154,NOVA SUICA,BELO HORIZONTE,MG,"AVENIDA AMAZONAS, 5154, NOVA SUICA, BELO HORIZONTE, MG","-19,92965","-43,97829","514,32","529,75","491,53","523,54","669,11","545,65","128,78","153,25","125,93","136,42","124,72"
2024,2,SRE METROPOLITANA A,31000698,EE PROFESSOR GUILHERME AZEVEDO LAGE,105,RUA MARICA,285,SAO GABRIEL,BELO HORIZONTE,MG,"RUA MARICA, 285, SAO GABRIEL, BELO HORIZONTE, MG","-19,848661","-43,912524","490,62","510,88","464,23","482,53","563,37","502,33","113,48","134,38","106,97","115,51","93,03"
2024,2,SRE METROPOLITANA A,31000787,EE PROFESSOR CAETANO AZEREDO,91,RUA GUAJAJARAS,1827,BARRO PRETO,BELO HORIZONTE,MG,"RUA GUAJAJARAS, 1827, BARRO PRETO, BELO HORIZONTE, MG","-19,9228485","-43,9511111","504,69","525,89","494,38","523,34","639,27","537,51","123,17","149,02","120,98","126,34","119,76"
2024,1,SRE METROPOLITANA B,31000795,EE MINISTRO ALFREDO VILHENA VALLADAO,24,RUA SONIA MORAES ANGEL,111,TIROL,BELO HORIZONTE,MG,"RUA SONIA MORAES ANGEL, 111, TIROL, BELO HORIZONTE, MG","-19,9918442","-44,0379701","516,21","526,19","507,03","515,86","609,52","534,96","120,95",140,"121,9","128,57","98,1"
2024,1,SRE METROPOLITANA B,31000833,EE CARMO GIFFONI,44,RUA COLAR,85,JATOBA,BELO HORIZONTE,MG,"RUA COLAR, 85, JATOBA, BELO HORIZONTE, MG","-19,994018","-44,053438","502,24","519,16","456,94","480,07","627,06","517,09","119,41","154,12","117,65","126,47","109,41"
2024,1,SRE METROPOLITANA B,31000841,EE DOUTOR AURINO MORAIS,73,RUA DOMICIO GABRIEL DE VASCONCELOS,230,VALE DO JATOBA,BELO HORIZONTE,MG,"RUA DOMICIO GABRIEL DE VASCONCELOS, 230, VALE DO JATOBA, BELO HORIZONTE, MG","-20,0097104","-44,0373526","504,41","509,93","450,09","478,4","551,76","498,92","108,63","129,8","104,31","113,33","95,69"
2024,1,SRE METROPOLITANA B,31000868,EE PROFESSOR CLAUDIO BRANDAO,252,AVENIDA SENADOR LEVINDO COELHO,250,VALE DO JATOBA,BELO HORIZONTE,MG,"AVENIDA SENADOR LEVINDO COELHO, 250, VALE DO JATOBA, BELO HORIZONTE, MG","-19,9953297","-44,0353477","500,46","517,23","472,49","504,2","639,43","526,76","123,52","154,19","120,48","128,19","113,05"
2024,2,SRE METROPOLITANA A,31000892,EE JOAO ALPHONSUS,33,RUA DOUTOR MICHAELLI,680,PARAISO,BELO HORIZONTE,MG,"RUA DOUTOR MICHAELLI, 680, PARAISO, BELO HORIZONTE, MG","-20,0089186","-44,0461281","465,11","498,97","465,23","485,02",520,"486,87","107,83","125,22",100,"108,7","78,26"
2024,1,SRE METROPOLITANA B,31000949,EE PROFESSOR CLOVIS SALGADO,16,AVENIDA DAS CASTANHOLAS,80,CONJUNTO CALIFORNIA,BELO HORIZONTE,MG,"AVENIDA DAS CASTANHOLAS, 80, CONJUNTO CALIFORNIA, BELO HORIZONTE, MG","-19,92275","-44,00948","463,93","486,45","473,91","487,71",548,492,"102,67","130,67","106,67","106,67","101,33"
2024,1,SRE METROPOLITANA B,31000957,EE NOSSA SENHORA APARECIDA,21,RUA PAULO ARBEX,25,JARDIM AMERICA,BELO HORIZONTE,MG,"RUA PAULO ARBEX, 25, JARDIM AMERICA, BELO HORIZONTE, MG","-19,95069","-43,96863","451,38","480,07","455,02","478,43",576,"488,18","106,67",140,"114,67",116,"98,67"
2024,1,SRE METROPOLITANA B,31000990,EE CECILIA MEIRELES,53,RUA JOSE DOS SANTOS LAGE,360,TEIXEIRA DIAS,BELO HORIZONTE,MG,"RUA JOSE DOS SANTOS LAGE, 360, TEIXEIRA DIAS, BELO HORIZONTE, MG",#REF!,#REF!,"486,16","514,7","468,3","443,75","589,58","500,5","120,42","143,75","116,25","122,92","86,25"
2024,1,SRE METROPOLITANA B,31001031,EE NOSSA SENHORA DO BELO RAMO,11,RUA SEBASTIAO DE BARROS,151,NOVA GRANADA,BELO HORIZONTE,MG,"RUA SEBASTIAO DE BARROS, 151, NOVA GRANADA, BELO HORIZONTE, MG","-19,9405731","-43,9688348","469,42","483,13","416,23","427,62",460,"451,28","95,56","111,11","86,67",100,"66,67"
2024,1,SRE METROPOLITANA B,31001074,EE CELSO MACHADO,149,RUA DONA LUIZA,491,MILIONARIOS,BELO HORIZONTE,MG,"RUA DONA LUIZA, 491, MILIONARIOS, BELO HORIZONTE, MG","-19,9852626","-44,005016","502,94","523,86","475,23","491,32","636,57","525,98","124,93","148,66","118,51","131,79","112,69"
2024,1,SRE METROPOLITANA B,31001082,EE DOUTOR LUCAS MONTEIRO MACHADO,15,RUA GUARARAPES,1800,PINDORAMA,BELO HORIZONTE,MG,"RUA GUARARAPES, 1800, PINDORAMA, BELO HORIZONTE, MG","-19,9102195","-44,0201732","521,53","536,98","483,98","527,14","541,67","522,26","106,67","136,67","106,67","118,33","73,33"
2024,1,SRE METROPOLITANA B,31001104,EE PROFESSOR FRANCISCO BRANT,57,RUA ANTONIO PEIXOTO GUIMARAES,165,CAICARAADELAIDE,BELO HORIZONTE,MG,"RUA ANTONIO PEIXOTO GUIMARAES, 165, CAICARAADELAIDE, BELO HORIZONTE, MG","-19,9113957","-43,9746451","518,4","525,73","491,24","550,08","681,6","553,41","128,4","157,6","128,8","139,6","127,2"
2024,2,SRE METROPOLITANA A,31001198,EE OLEGARIO MACIEL,88,AVENIDA OLEGARIO MACIEL,422,CENTRO,BELO HORIZONTE,MG,"AVENIDA OLEGARIO MACIEL, 422, CENTRO, BELO HORIZONTE, MG","-19,918054","-43,944105","511,74","527,43","480,13","513,89","633,5","533,34","120,25","148,5","119,25","128,75","116,75"
2024,1,SRE METROPOLITANA B,31001201,EE SILVIANO BRANDAO,21,RUA ITAPECERICA,685,LAGOINHA,BELO HORIZONTE,MG,"RUA ITAPECERICA, 685, LAGOINHA, BELO HORIZONTE, MG","-19,9076514","-43,9453563","476,45","501,74","455,44","461,13","532,63","485,48","110,53","123,16",100,"113,68","85,26"
2024,41,SRE METROPOLITANA C,31001210,EE ANITA BRINA BRANDAO,118,RUA HIGINO BONFIOLI,5,JARAGUA,BELO HORIZONTE,MG,"RUA HIGINO BONFIOLI, 5, JARAGUA, BELO HORIZONTE, MG","-19,8562659","-43,9487894","520,36","542,56","498,34","527,63","693,75","556,53","132,5","160,71","129,46","136,96","134,11"
2024,2,SRE METROPOLITANA A,31001261,EE PROFESSOR LEOPOLDO DE MIRANDA,108,RUA BARAO DE MACAUBAS,449,SANTO ANTONIO,BELO HORIZONTE,MG,"RUA BARAO DE MACAUBAS, 449, SANTO ANTONIO, BELO HORIZONTE, MG","-19,9394807","-43,9473708","509,72","527,29","482,86","506,82","650,89","535,52","121,58","152,08","120,79","129,9","126,53"
2024,2,SRE METROPOLITANA A,31001295,EE LAUDIEME VAZ DE MELO,68,RUA CAMILO PRATES,238,UNIAO,BELO HORIZONTE,MG,"RUA CAMILO PRATES, 238, UNIAO, BELO HORIZONTE, MG","-19,88246","-43,91842","496,48","521,84","478,21","508,66","581,38","517,31",120,"136,55","113,1","121,72",90
2024,1,SRE METROPOLITANA B,31001309,EE PROFESSORA MARIA DO SOCORRO ANDRADE,40,RUA ALEXANDRE MATIAS ALVES,290,NOVA CINTRA,BELO HORIZONTE,MG,"RUA ALEXANDRE MATIAS ALVES, 290, NOVA CINTRA, BELO HORIZONTE, MG","-19,9514681","-43,9881014","460,2","480,19","447,09","452,86","548,33","477,73","110,83","136,67",100,115,"85,83"
2024,2,SRE METROPOLITANA A,31001317,EE CORACAO EUCARISTICO,24,RUA ARCOS,410,VERA CRUZ,BELO HORIZONTE,MG,"RUA ARCOS, 410, VERA CRUZ, BELO HORIZONTE, MG","-19,9119202","-43,8978231","492,57","513,59","471,27","472,87",520,"494,06","100,87","128,7","100,87","108,7","80,87"
2024,2,SRE METROPOLITANA A,31001333,EE LAURA DAS CHAGAS FERREIRA,36,RUA SACRAMENTO,54,SERRA,BELO HORIZONTE,MG,"RUA SACRAMENTO, 54, SERRA, BELO HORIZONTE, MG","-19,9377776","-43,9114564","458,59","480,95","428,3","500,32","517,14","477,06","111,43","115,71","98,57","102,86","88,57"
2024,2,SRE METROPOLITANA A,31001368,COLEGIO TIRADENTES PMMG - UNIDADE ARGENTINO MADEIRA,161,PRACA DUQUE DE CAXIAS,S/N,SANTA TEREZA,BELO HORIZONTE,MG,"PRACA DUQUE DE CAXIAS, S/N, SANTA TEREZA, BELO HORIZONTE, MG",#N/A,#N/A,"578,6","567,02","542,11","641,26","746,36","615,07","137,4","169,48","138,57","150,39","150,52"
2024,2,SRE METROPOLITANA A,31001384,EE BOLIVAR TINOCO MINEIRO,129,RUA DIVINO ESPIRITO SANTO,40,RIBEIRO DE ABREU,BELO HORIZONTE,MG,"RUA DIVINO ESPIRITO SANTO, 40, RIBEIRO DE ABREU, BELO HORIZONTE, MG","-19,8347421","-43,9057922","507,29","511,8","472,93","482,26","612,57","517,37","119,24","143,43","114,67","120,95","114,29"
2024,41,SRE METROPOLITANA C,31001392,EE CORONEL JUCA PINTO,16,AVENIDA BUENO SIQUEIRA,180,UNIVERSITARIO,BELO HORIZONTE,MG,"AVENIDA BUENO SIQUEIRA, 180, UNIVERSITARIO, BELO HORIZONTE, MG","-19,8665143","-43,9440587","479,6","481,58","441,39","485,47","441,54","465,92","86,15","104,62","84,62","89,23","76,92"
2024,1,SRE METROPOLITANA B,31001406,EE ENGENHEIRO FRANCISCO BICALHO,102,AVENIDA OLINTO MEIRELES,2632,BARREIRO DE CIMA,BELO HORIZONTE,MG,"AVENIDA OLINTO MEIRELES, 2632, BARREIRO DE CIMA, BELO HORIZONTE, MG","-19,9930919","-44,0075627","486,68","498,83","460,33","483,8","541,05","494,14","113,42","130,26","102,89","113,68","80,79"
2024,41,SRE METROPOLITANA C,31001457,EE MADRE CARMELITA,188,AVENIDA ANTONIO FRANCISCO LISBOA,500,BANDEIRANTES,BELO HORIZONTE,MG,"AVENIDA ANTONIO FRANCISCO LISBOA, 500, BANDEIRANTES, BELO HORIZONTE, MG","-19,8581646","-44,0027197","515,35","533,7","494,77","530,61","686,46","552,18","130,76","156,46","128,1","139,24","131,9"
2024,2,SRE METROPOLITANA A,31001481,EE ENGENHEIRO PRADO LOPES,19,RUA ITAGUA,320,ALTO VERA CRUZ,BELO HORIZONTE,MG,"RUA ITAGUA, 320, ALTO VERA CRUZ, BELO HORIZONTE, MG","-19,9043789","-43,8914483","464,67","490,88","464,15","456,9",466,"468,52",90,100,92,94,90
2024,2,SRE METROPOLITANA A,31001490,EE MAESTRO VILLA LOBOS,151,RUA OURO PRETO,1144,SANTO AGOSTINHO,BELO HORIZONTE,MG,"RUA OURO PRETO, 1144, SANTO AGOSTINHO, BELO HORIZONTE, MG","-19,9282315","-43,9524328","520,47","533,77","487,67","545,03","637,08","544,8","122,63","147,01",120,"129,49","117,96"
2024,1,SRE METROPOLITANA B,31001503,EE PROFESSOR MORAIS,167,RUA CORNELIO CERQUEIRA,475,PADRE EUSTAQUIO,BELO HORIZONTE,MG,"RUA CORNELIO CERQUEIRA, 475, PADRE EUSTAQUIO, BELO HORIZONTE, MG","-19,9130059","-43,9878607","515,64","527,95","491,88","519,89","649,79","541,03","123,83","153,76","122,55","131,91","117,73"
2024,1,SRE METROPOLITANA B,31001511,EE ORDEM E PROGRESSO,169,RUA OSCAR NEGRAO DE LIMA,29,NOVA GAMELEIRA,BELO HORIZONTE,MG,"RUA OSCAR NEGRAO DE LIMA, 29, NOVA GAMELEIRA, BELO HORIZONTE, MG","-19,9383352","-43,9966438","532,45","535,18","502,2","553,63","660,92","556,88","125,79","154,87","123,68","134,34","122,24"
2024,2,SRE METROPOLITANA A,31001589,EE PROFESSOR PEDRO ALEIXO,36,AVENIDA BANDEIRANTES,2300,MANGABEIRAS,BELO HORIZONTE,MG,"AVENIDA BANDEIRANTES, 2300, MANGABEIRAS, BELO HORIZONTE, MG","-19,9462","-43,91751","459,56",490,"453,65","464,73","602,67","494,12","120,67","144,67",114,120,"103,33"
2024,1,SRE METROPOLITANA B,31001597,EE ELPIDIO ARISTIDES DE FREITAS,37,RUA MARIA ANTONIA FRAGOLA,50,CAMARGOS,BELO HORIZONTE,MG,"RUA MARIA ANTONIA FRAGOLA, 50, CAMARGOS, BELO HORIZONTE, MG","-19,9424883","-44,0156647","525,96","540,54","475,94","533,22","664,85","548,1","126,67",160,"124,24","130,3","123,64"
2024,1,SRE METROPOLITANA B,31001601,EE URSULINA DE ANDRADE MELO,25,RUA FLOR DE VIDRO,251,JARDIM ALVORADA,BELO HORIZONTE,MG,"RUA FLOR DE VIDRO, 251, JARDIM ALVORADA, BELO HORIZONTE, MG","-19,8992908","-43,9911743","491,55","505,19","463,82","495,8","659,05","523,08","120,95","152,38","124,76","141,9","119,05"
2024,1,SRE METROPOLITANA B,31001619,EE PADRE JOAO BOTELHO,66,RUA MARIA DE LOURDES MANSO,81,INDUSTRIAS,BELO HORIZONTE,MG,"RUA MARIA DE LOURDES MANSO, 81, INDUSTRIAS, BELO HORIZONTE, MG","-19,9639787","-44,0009425","513,49","527,56","495,61",534,"624,62","539,06","121,92","149,62","119,23",125,"108,85"
2024,2,SRE METROPOLITANA A,31001627,EE ASSIS CHATEAUBRIAND,80,RUA MARZAGANIA,289,BOA VISTA,BELO HORIZONTE,MG,"RUA MARZAGANIA, 289, BOA VISTA, BELO HORIZONTE, MG","-19,89284","-43,90484","506,32","526,28","471,02","480,27","662,86","529,35","129,14","155,43","122,57","134,57","121,14"
2024,2,SRE METROPOLITANA A,31001651,EE CAMINHO A LUZ,40,RUA CRAVINAS,537,ESPLANADA,BELO HORIZONTE,MG,"RUA CRAVINAS, 537, ESPLANADA, BELO HORIZONTE, MG","-19,9044334","-43,9027247","501,63","527,12","475,28","484,44","587,88","515,27","113,33","144,24","113,33","119,39","97,58"
2024,2,SRE METROPOLITANA A,31001686,EE WALT DISNEY,42,RUA RAUL DE BRITO,9,CASA BRANCA,BELO HORIZONTE,MG,"RUA RAUL DE BRITO, 9, CASA BRANCA, BELO HORIZONTE, MG","-19,8955678","-43,8884017","464,76","503,71","457,24","483,49",555,"492,84","113,89","131,67","105,56","115,56","88,33"
2024,1,SRE METROPOLITANA B,31001694,EE PADRE MATIAS,86,RUA CELIA COSTA,31,GLORIA,BELO HORIZONTE,MG,"RUA CELIA COSTA, 31, GLORIA, BELO HORIZONTE, MG","-19,9028432","-44,0067834","498,75","526,61","484,59","511,26","602,29","524,7",116,"145,14","114,29","121,14","105,71"
2024,1,SRE METROPOLITANA B,31001716,EE DOUTOR PAULO DINIZ CHAGAS,31,RUA CANDIDO DE SOUZA,80,NOVA CINTRA,BELO HORIZONTE,MG,"RUA CANDIDO DE SOUZA, 80, NOVA CINTRA, BELO HORIZONTE, MG","-19,9355574","-43,9848552","495,83","512,97","465,69","491,84","548,97","503,06","111,03","130,34",100,"107,59",100
2024,1,SRE METROPOLITANA B,31001741,EE PROFESSORA BENVINDA DE CARVALHO,22,RUA FLOR DE LIZ,100,JARDIM ALVORADA,BELO HORIZONTE,MG,"RUA FLOR DE LIZ, 100, JARDIM ALVORADA, BELO HORIZONTE, MG","-19,9023999","-43,9855344","502,35","521,27","454,19",474,"606,67","511,7","116,67",145,115,125,105
2024,2,SRE METROPOLITANA A,31001783,EE AUGUSTO DE LIMA,58,AVENIDA DO CONTORNO,4947,FUNCIONARIOS,BELO HORIZONTE,MG,"AVENIDA DO CONTORNO, 4947, FUNCIONARIOS, BELO HORIZONTE, MG",#N/A,#N/A,"507,96","521,59","495,62","503,47","562,45","518,22","114,29","135,1","106,12","117,55","89,39"
2024,1,SRE METROPOLITANA B,31001791,EE DESEMBARGADOR RODRIGUES CAMPOS,159,AVENIDA SINFRONIO BROCHADO,355,BARREIRO DE BAIXO,BELO HORIZONTE,MG,"AVENIDA SINFRONIO BROCHADO, 355, BARREIRO DE BAIXO, BELO HORIZONTE, MG","-19,9764753","-44,0160095","496,85","525,53","477,78","495,61","627,9","524,73","121,18","149,08","115,29","127,56","114,79"
2024,2,SRE METROPOLITANA A,31001805,EE FLAVIO DOS SANTOS,93,RUA JACUI,1131,CONCORDIA,BELO HORIZONTE,MG,"RUA JACUI, 1131, CONCORDIA, BELO HORIZONTE, MG","-19,9035533","-43,933023","510,82","525,54","475,08","501,89","618,8","526,43","120,24","140,72","119,52","123,37","114,94"
2024,2,SRE METROPOLITANA A,31001813,EE PAULO DAS GRACAS DA SILVA,51,RUA SILVA REIS,80,BOA VISTA,BELO HORIZONTE,MG,"RUA SILVA REIS, 80, BOA VISTA, BELO HORIZONTE, MG","-19,8888628","-43,8961005","487,81","516,39","467,63","480,82","584,39","507,41","116,59","136,1","110,73",120,"100,98"
2024,2,SRE METROPOLITANA A,31001821,EE PROFESSORA MARIA AMELIA GUIMARAES,10,RUA AMARAL,32,PIRAJA,BELO HORIZONTE,MG,"RUA AMARAL, 32, PIRAJA, BELO HORIZONTE, MG","-19,866787","-43,9184069","457,63","512,3","473,88","514,18","533,33","498,26","113,33","126,67",100,120,"73,33"
2024,1,SRE METROPOLITANA B,31001872,EE DIVINA PROVIDENCIA,59,RUA PROFESSORA RUTH PINA,381,REGINA,BELO HORIZONTE,MG,"RUA PROFESSORA RUTH PINA, 381, REGINA, BELO HORIZONTE, MG","-19,9817708","-44,0552314","494,84","505,55","466,61","480,31","656,07","520,68","123,21","155,71",120,135,"122,14"
